INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,Henry's Law mol/m3-Pa,Measured
AAPLIUHOKVUFCC-UHFFFAOYSA-N,InChIKey,DTXSID7061433,Trimethylsilanol,1.87849E-05,0.525381166,0.07
ABVVEAHYODGCLZ-UHFFFAOYSA-N,InChIKey,DTXSID0022199,Tridecylamine,2.15534E-05,0.45789679,0.09
AFABGHUZZDYHJO-UHFFFAOYSA-N,InChIKey,DTXSID4029143,2-Methylpentane,0.467213,2.11236E-05,0.000013
AFYPFACVUDMOHA-UHFFFAOYSA-N,InChIKey,DTXSID4052500,Chlorotrifluoromethane,1.38003,7.15146E-06,8.53333E-06
AGDYNDJUZRMYRG-UHFFFAOYSA-N,InChIKey,DTXSID8066636,"Nitric acid, hexyl ester",0.00149191,0.006615166,0.0076
AHJKRLASYNVKDZ-UHFFFAOYSA-N,InChIKey,DTXSID4020373,"p,p'-DDD",6.63773E-06,1.486838523,1.205
AIJULSRZWUXGPQ-UHFFFAOYSA-N,InChIKey,DTXSID0021628,Methyl glyoxal,2.67E-07,36.99057236,177
AITNMTXHTIIIBB-UHFFFAOYSA-N,InChIKey,DTXSID4027153,1-Bromo-4-fluorobenzene,0.000827139,0.01193177,0.0053
AJDIZQLSFPQPEY-UHFFFAOYSA-N,InChIKey,DTXSID6021377,"1,1,2-Trichloro-1,2,2-trifluoroethane",0.151292,6.5233E-05,0.0000644
ALDJIKXAHSDLLB-UHFFFAOYSA-N,InChIKey,DTXSID8038302,"2,2',3,5'-tetrachlorobiphenyl",0.000139576,0.070708665,0.033666667
ALFHIHDQSYXSGP-UHFFFAOYSA-N,InChIKey,DTXSID80873557,"2,2',3,4'-Tetrachloro-1,1'-biphenyl",0.000139518,0.07073806,0.039
ALVPFGSHPUPROW-UHFFFAOYSA-N,InChIKey,DTXSID2022096,Dipropyl disulfide,0.00381204,0.002588964,0.0024
AMIMRNSIRUDHCM-UHFFFAOYSA-N,InChIKey,DTXSID9021635,2-Methylpropanal,0.000100674,0.098031594,0.030725
AMKBEJYNNQNKGD-UHFFFAOYSA-N,InChIKey,DTXSID30872691,"1,2,5,6,9-Pentachlorodecane",9.31465E-05,0.105953876,0.29
AMQJEAYHLZJPGS-UHFFFAOYSA-N,InChIKey,DTXSID6021741,1-Pentanol,1.30069E-05,0.758769012,0.852857143
AOGQPLXWSUTHQB-UHFFFAOYSA-N,InChIKey,DTXSID6022006,Hexyl acetate,0.000529646,0.01863364,0.015
AQDKZPFDOWHRDZ-UHFFFAOYSA-N,InChIKey,DTXSID8074491,6-Nitro-o-cresol,3.02512E-05,0.326242684,0.29
AQONCPKMJSBHQT-UHFFFAOYSA-N,InChIKey,DTXSID1074200,"2,2',3,4',5,6-Hexachlorobiphenyl",5.07333E-05,0.194531652,0.19
ARXHIJMGSIYYRZ-UHFFFAOYSA-N,InChIKey,DTXSID3038307,"2,3,3',4',6-Pentachlorobiphenyl",7.58557E-05,0.130105354,0.058
ARXJGSRGQADJSQ-UHFFFAOYSA-N,InChIKey,DTXSID8024284,1-Methoxy-2-propanol,9.14E-07,10.79500117,4.8
ATHHXGZTWNVVOU-UHFFFAOYSA-N,InChIKey,DTXSID0025608,N-Methylformamide,5.74E-08,172.0814524,1500
ATUOYWHBWRKTHZ-UHFFFAOYSA-N,InChIKey,DTXSID5026386,Propane,0.392059,2.51728E-05,1.35667E-05
