,inchikey,species_id,iupac,htype,mindhr,subcat_id,value,canonical_smiles,complexity,molecular_weight,tpsa,h_bond_acceptor_count,h_bond_donor_count,covalent_unit_count
0,AAPLIUHOKVUFCC-UHFFFAOYSA-N,4565,trimethylsilanol,M,,55,0.07,C[Si](C)(C)O,28.4,90.20,20.2,1,1,1
1,ABVVEAHYODGCLZ-UHFFFAOYSA-N,1654,1-tridecanamine,M,,30,0.09,CCCCCCCCCCCCCN,91.2,199.38,26.0,1,1,1
2,AFABGHUZZDYHJO-UHFFFAOYSA-N,87,2-methylpentane,M,960.0,11,1.3000000000000001e-05,CCCC(C)C,21.2,86.18,0.0,0,0,1
3,AFYPFACVUDMOHA-UHFFFAOYSA-N,3670,chlorotrifluoromethane,M,2050.0,46,8.533333333333334e-06,C(F)(F)(F)Cl,28.4,104.46,0.0,3,0,1
4,AGDYNDJUZRMYRG-UHFFFAOYSA-N,2220,1-hexyl nitrate,M,6700.0,35,0.0076,CCCCCCO[N+](=O)[O-],89.5,147.17,55.0,3,0,1
5,AHBGIHFKTBTQJP-UHFFFAOYSA-N,3974,"2,6-dibromo-3-chloro-1-methoxybenzene",M,770.0,49,0.0074,COC1=C(C=CC(=C1Br)Cl)Br,134.0,300.37,9.2,1,0,1
6,AHJKRLASYNVKDZ-UHFFFAOYSA-N,2711,"1,1-dichloro-2,2-bis-(4-chlorophenyl)-ethane",M,5100.0,39,1.205,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,218.0,320.0,0.0,0,0,1
7,AIJULSRZWUXGPQ-UHFFFAOYSA-N,1423,propanonal,M,7500.0,29,177.0,CC(=O)C=O,55.9,72.06,34.1,2,0,1
8,AITNMTXHTIIIBB-UHFFFAOYSA-N,3939,4-bromofluorobenzene,M,4400.0,49,0.0053,C1=CC(=CC=C1F)Br,66.9,175.00,0.0,1,0,1
9,AJDIZQLSFPQPEY-UHFFFAOYSA-N,3676,"1,1,2-trichloro-1,2,2-trifluoroethane",M,4800.0,46,6.440000000000001e-05,C(C(F)(Cl)Cl)(F)(F)Cl,90.5,187.37,0.0,3,0,1
